UserID,JobID,label
13,821691,1
13,921307,0
64,666073,1
64,281940,1
64,337025,1
64,859637,0
64,296722,0
64,469018,0
101,949251,1
101,1047727,0
133,17494,1
133,661510,0
151,858076,1
151,174336,1
151,453411,1
151,911643,1
151,849501,1
151,1016452,1
151,105065,1
151,743858,1
151,1024896,0
151,519945,0
151,948482,0
151,924151,0
151,739902,0
151,529923,0
151,825425,0
151,376940,0
182,1098447,1
182,428902,1
182,816939,0
182,781054,0
215,790333,1
215,896906,1
215,900480,1
215,178574,1
215,533790,1
215,356838,0
215,456700,0
215,1108567,0
215,562194,0
215,1012302,0
293,57774,1
293,507238,1
293,587939,1
293,614418,1
293,67951,1
293,879541,0
293,888220,0
293,637182,0
293,799119,0
293,1058711,0
320,267724,1
320,285976,1
320,674313,1
320,499860,1
320,524716,1
320,23620,1
320,779830,1
320,758714,1
320,460843,1
320,57771,1
320,213199,1
320,23313,1
320,922648,0
320,68489,0
320,607502,0
320,517942,0
320,854777,0
320,296071,0
320,429347,0
320,534571,0
320,1064470,0
320,727362,0
320,901981,0
320,584409,0
350,450025,1
350,151834,1
350,905549,1
350,590247,1
350,729734,0
350,795643,0
350,33817,0
350,426289,0
379,1055621,1
379,732097,0
580,196260,1
580,56774,1
580,909649,0
580,181904,0
732,159935,1
732,931135,0
774,920132,1
774,100328,1
774,1091024,0
774,137677,0
794,806942,1
794,823411,0
907,962157,1
907,596838,0
944,830502,1
944,897256,0
956,920436,1
956,524889,0
1037,569557,1
1037,939154,1
1037,133417,0
1037,9612,0
1066,709999,1
1066,1096020,1
1066,700868,1
1066,727180,0
1066,757295,0
1066,308412,0
1072,780938,1
1072,473226,1
1072,553847,1
1072,441483,1
1072,77165,1
1072,1036240,1
1072,253270,1
1072,494793,0
1072,217108,0
1072,465265,0
1072,993887,0
1072,194179,0
1072,237472,0
1072,646844,0
1075,381814,1
1075,994227,1
1075,709282,0
1075,1072741,0
1085,275935,1
1085,951502,1
1085,498226,0
1085,570733,0
1107,1056810,1
1107,1029159,1
1107,1112793,1
1107,705147,0
1107,670754,0
1107,664608,0
1130,784228,1
1130,438034,0
1139,918877,1
1139,186289,0
1141,341155,1
1141,95651,0
1200,644520,1
1200,674492,1
1200,293077,1
1200,507494,1
1200,45160,1
1200,403197,1
1200,880167,1
1200,512736,1
1200,1007181,1
1200,371557,1
1200,305625,1
1200,405713,1
1200,311186,1
1200,173094,1
1200,975254,1
1200,628427,1
1200,200726,1
1200,134625,1
1200,410941,1
1200,774069,1
1200,796916,0
1200,36414,0
1200,496271,0
1200,842282,0
1200,1099378,0
1200,134745,0
1200,992829,0
1200,110414,0
1200,772133,0
1200,203183,0
1200,335240,0
1200,1081994,0
1200,673933,0
1200,231918,0
1200,7362,0
1200,276609,0
1200,671096,0
1200,71475,0
1200,640266,0
1200,75441,0
1283,824258,1
1283,674317,1
1283,321990,0
1283,743096,0
1386,817695,1
1386,1107096,1
1386,437410,1
1386,857936,1
1386,81237,1
1386,433169,0
1386,426633,0
1386,92401,0
1386,89309,0
1386,512104,0
1414,224949,1
1414,1015558,0
1425,892116,1
1425,1045135,0
1430,625515,1
1430,220488,1
1430,5634,0
1430,896674,0
1533,759457,1
1533,194930,1
1533,62233,1
1533,794983,1
1533,992811,0
1533,1027882,0
1533,782079,0
1533,1047759,0
1574,345731,1
1574,130217,1
1574,1000100,1
1574,928052,1
1574,436583,0
1574,572673,0
1574,523773,0
1574,1059864,0
1648,410802,1
1648,165092,1
1648,522479,0
1648,991717,0
1675,697722,1
1675,973169,0
1708,268154,1
1708,460366,0
1759,155353,1
1759,316614,1
1759,84498,0
1759,198701,0
1832,695807,1
1832,523945,0
1921,930945,1
1921,267406,0
1940,1075748,1
1940,559963,0
2089,22344,1
2089,506607,0
2187,493447,1
2187,540524,0
2195,599982,1
2195,1054302,1
2195,77189,0
2195,328967,0
2287,862876,1
2287,182321,0
2364,282827,1
2364,187496,1
2364,317882,0
2364,387054,0
2448,924819,1
2448,407104,0
2626,251584,1
2626,576315,0
2822,385911,1
2822,183860,0
2890,315152,1
2890,253486,1
2890,70309,1
2890,338495,1
2890,543778,1
2890,921603,1
2890,11817,1
2890,908400,1
2890,752503,1
2890,573001,1
2890,201831,1
2890,253214,1
2890,861532,1
2890,1051951,1
2890,261539,1
2890,768056,1
2890,155970,1
2890,1020215,1
2890,171529,1
2890,557975,0
2890,1061909,0
2890,631093,0
2890,861062,0
2890,554870,0
2890,429026,0
2890,1080567,0
2890,903713,0
2890,243160,0
2890,992621,0
2890,534012,0
2890,728000,0
2890,370465,0
2890,741029,0
2890,286119,0
2890,433666,0
2890,54103,0
2890,993767,0
2890,1036751,0
3096,200635,1
3096,831484,1
3096,653291,0
3096,844887,0
3109,859884,1
3109,396096,1
3109,395735,0
3109,288855,0
3156,799902,1
3156,747007,0
3247,808920,1
3247,1081928,1
3247,448583,0
3247,840603,0
3307,782107,1
3307,267376,1
3307,241882,1
3307,584057,1
3307,817984,1
3307,881420,1
3307,809533,1
3307,230268,1
3307,476428,1
3307,817976,1
3307,1059424,1
3307,552255,0
3307,481717,0
3307,493087,0
3307,991248,0
3307,862708,0
3307,819210,0
3307,565717,0
3307,371496,0
3307,325403,0
3307,885285,0
3307,918311,0
3446,400908,1
3446,745992,0
3480,925130,1
3480,997576,1
3480,512733,1
3480,600219,0
3480,213781,0
3480,394301,0
3531,150520,1
3531,43293,0
3572,533129,1
3572,993284,0
3671,695219,1
3671,1104314,1
3671,994147,0
3671,52168,0
3795,942778,1
3795,439202,0
3832,693159,1
3832,305206,0
3859,200635,1
3859,639898,0
3885,772343,1
3885,928152,1
3885,748450,0
3885,650357,0
3940,245658,1
3940,334957,1
3940,879942,1
3940,64647,1
3940,1006404,1
3940,2617,1
3940,634991,1
3940,503520,1
3940,462483,1
3940,145280,1
3940,299285,1
3940,884229,1
3940,580201,1
3940,11465,1
3940,201545,1
3940,816695,1
3940,375930,1
3940,573981,1
3940,834367,1
3940,874791,1
3940,244666,1
3940,331104,1
3940,621398,0
3940,127693,0
3940,10208,0
3940,362599,0
3940,936121,0
3940,339967,0
3940,1039328,0
3940,1076070,0
3940,92161,0
3940,127924,0
3940,1004558,0
3940,485742,0
3940,1014849,0
3940,150285,0
3940,616219,0
3940,507514,0
3940,1104664,0
3940,851965,0
3940,347695,0
3940,1027606,0
3940,146847,0
3940,665870,0
3998,403197,1
3998,62746,1
3998,877034,0
3998,537842,0
4043,821691,1
4043,548533,1
4043,521624,1
4043,325065,0
4043,838576,0
4043,74309,0
4089,509781,1
4089,276705,1
4089,502154,0
4089,98194,0
